FECHA;PRECIO DÓLAR;KO;VALOR INV;VALOR COP;GAN/PER
15/07/2025; $ 4.002,64 ; $ 69,36 ; $ 7,55 ; $ 30.233,16 ; $ 0,61 
16/07/2025; $ 4.034,26 ; $ 69,27 ; $ 7,54 ; $ 30.432,45 ; $ 0,60 
17/07/2025; $ 4.015,10 ; $ 70,59 ; $ 7,69 ; $ 30.865,08 ; $ 0,75 
18/07/2025; $ 4.012,00 ; $ 69,85 ; $ 7,61 ; $ 30.517,94 ; $ 0,67 
21/07/2025; $ 4.012,66 ; $ 70,07 ; $ 7,63 ; $ 30.619,10 ; $ 0,69 
22/07/2025; $ 4.049,72 ; $ 69,66 ; $ 7,59 ; $ 30.721,07 ; $ 0,65 
23/07/2025; $ 4.074,53 ; $ 69,16 ; $ 7,53 ; $ 30.687,42 ; $ 0,59 
24/07/2025; $ 4.143,23 ; $ 69,10 ; $ 7,52 ; $ 31.177,76 ; $ 0,58 
25/07/2025; $ 4.143,23 ; $ 69,17 ; $ 7,53 ; $ 31.209,35 ; $ 0,59 
28/07/2025; $ 4.143,23 ; $ 68,90 ; $ 7,50 ; $ 31.087,52 ; $ 0,56 
29/07/2025; $ 4.175,34 ; $ 69,38 ; $ 7,56 ; $ 31.546,71 ; $ 0,62 
30/07/2025; $ 4.145,49 ; $ 68,75 ; $ 7,49 ; $ 31.036,77 ; $ 0,55 
31/07/2025; $ 4.182,67 ; $ 67,89 ; $ 7,39 ; $ 30.923,40 ; $ 0,45 
1/08/2025; $ 4.124,33 ; $ 68,86 ; $ 7,50 ; $ 30.927,75 ; $ 0,56 
4/08/2025; $ 4.124,33 ; $ 68,96 ; $ 7,51 ; $ 30.972,66 ; $ 0,57 
5/08/2025; $ 4.098,84 ; $ 69,05 ; $ 7,52 ; $ 30.821,41 ; $ 0,58 
6/08/2025; $ 4.090,72 ; $ 69,51 ; $ 7,57 ; $ 30.965,27 ; $ 0,63 
7/08/2025; $ 4.046,50 ; $ 70,43 ; $ 7,67 ; $ 31.035,95 ; $ 0,73 
8/08/2025; $ 4.046,50 ; $ 70,34 ; $ 7,66 ; $ 30.996,30 ; $ 0,72 
11/08/2025; $ 4.050,91 ; $ 70,75 ; $ 7,70 ; $ 31.210,95 ; $ 0,76 
12/08/2025; $ 4.025,00 ; $ 70,71 ; $ 7,70 ; $ 30.993,78 ; $ 0,76 
13/08/2025; $ 4.019,77 ; $ 70,46 ; $ 7,67 ; $ 30.844,07 ; $ 0,73 
14/08/2025; $ 4.033,15 ; $ 69,55 ; $ 7,57 ; $ 30.547,06 ; $ 0,63 
15/08/2025; $ 4.046,29 ; $ 69,92 ; $ 7,61 ; $ 30.809,62 ; $ 0,67 
18/08/2025; $ 4.022,48 ; $ 69,13 ; $ 7,53 ; $ 30.282,26 ; $ 0,59 
19/08/2025; $ 4.022,48 ; $ 70,13 ; $ 7,64 ; $ 30.720,31 ; $ 0,70 
20/08/2025; $ 4.030,40 ; $ 70,70 ; $ 7,70 ; $ 31.030,98 ; $ 0,76 
21/08/2025; $ 4.023,74 ; $ 70,66 ; $ 7,69 ; $ 30.962,17 ; $ 0,75 
22/08/2025; $ 4.033,80 ; $ 70,13 ; $ 7,64 ; $ 30.806,76 ; $ 0,70 
25/08/2025; $ 4.009,31 ; $ 68,93 ; $ 7,51 ; $ 30.095,79 ; $ 0,57 
26/08/2025; $ 4.023,06 ; $ 68,71 ; $ 7,48 ; $ 30.102,62 ; $ 0,54 
27/08/2025; $ 4.056,69 ; $ 68,83 ; $ 7,50 ; $ 30.407,27 ; $ 0,56 
28/08/2025; $ 4.029,11 ; $ 68,36 ; $ 7,44 ; $ 29.994,32 ; $ 0,50 
29/08/2025; $ 4.027,64 ; $ 68,99 ; $ 7,51 ; $ 30.259,70 ; $ 0,57 
2/09/2025; $ 4.016,87 ; $ 69,06 ; $ 7,52 ; $ 30.209,41 ; $ 0,58 
3/09/2025; $ 3.999,93 ; $ 68,99 ; $ 7,51 ; $ 30.051,52 ; $ 0,57 
4/09/2025; $ 4.002,93 ; $ 68,25 ; $ 7,43 ; $ 29.751,48 ; $ 0,49 
5/09/2025; $ 3.973,41 ; $ 67,96 ; $ 7,40 ; $ 29.406,59 ; $ 0,46 
8/09/2025; $ 3.959,51 ; $ 67,43 ; $ 7,34 ; $ 29.075,18 ; $ 0,40 
9/09/2025; $ 3.946,62 ; $ 67,86 ; $ 7,39 ; $ 29.165,34 ; $ 0,45 
10/09/2025; $ 3.918,99 ; $ 67,82 ; $ 7,39 ; $ 28.944,08 ; $ 0,45 
11/09/2025; $ 3.919,25 ; $ 67,62 ; $ 7,36 ; $ 28.860,64 ; $ 0,42 
12/09/2025; $ 3.896,27 ; $ 67,01 ; $ 7,30 ; $ 28.432,60 ; $ 0,36 
15/09/2025; $ 3.890,16 ; $ 66,21 ; $ 7,21 ; $ 28.049,10 ; $ 0,27 
16/09/2025; $ 3.908,05 ; $ 66,24 ; $ 7,21 ; $ 28.190,86 ; $ 0,27 
17/09/2025; $ 3.868,63 ; $ 67,04 ; $ 7,30 ; $ 28.243,54 ; $ 0,36 
18/09/2025; $ 3.877,34 ; $ 66,46 ; $ 7,24 ; $ 28.062,22 ; $ 0,30 
19/09/2025; $ 3.904,56 ; $ 66,43 ; $ 7,23 ; $ 28.246,47 ; $ 0,29 
22/09/2025; $ 3.862,19 ; $ 66,21 ; $ 7,21 ; $ 27.847,43 ; $ 0,27 
23/09/2025; $ 3.846,94 ; $ 66,71 ; $ 7,26 ; $ 27.946,94 ; $ 0,32 
